Date,Year,Lat_degN,Lon_degW,Replicate,Discharge_m3persec,NO3,delta15N,delta18O,TN_umolperL,TP_umolperL,NH4,PO4,NO2_umolperL,Li,Be,Al,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,As,Se,Rb,Sr,Ag,Cd,Cs,Ba,Tl,Pb,U
1/7/16,2016,37.382953,122.192809,LT 1a,,32.99,5.16,7.46,,,4.09,1.06,,341.45, ,748.29,427.94,41.91,55.92,732.21,2.32,44.01,47.27, ,7.60,6.70,7.66,8.82,2882.90, , , ,387.98, , , 
1/7/16,2016,37.382953,122.192809,LT 1b,,32.99,5.16,7.46,,,4.09,1.06,,349.66, ,727.16,417.15,40.21,55.70,676.16,2.27,39.90,41.20, ,6.81, ,14.11,8.46,2791.60, , , ,373.49, , , 
1/7/16,2016,37.382953,122.192809,LT 2a,,32.11,5.89,7.54,,,3.13,0.82,,333.09, ,666.75,422.25, ,54.39,686.36,2.43,42.76,42.63, ,7.43, , ,8.28,2847.52, , , ,383.90, , , 
1/7/16,2016,37.382953,122.192809,LT 2b,,32.11,5.89,7.54,,,3.13,0.82,,345.05, ,635.62,410.86, ,53.59,614.20,2.21,37.45,37.41, ,6.83,5.07, ,8.26,2739.10, , , ,372.47, , , 
1/7/16,2016,37.382953,122.192809,LT 3a,,32.29,4.85,7.65,,,2.75,-0.39,,339.58, ,636.36,452.87,44.29,55.32,643.93,2.29,42.29,44.16, ,7.97, , ,8.40,2836.11, , , ,381.79, , , 
1/7/16,2016,37.382953,122.192809,LT 3b,,32.29,4.85,7.65,,,2.75,-0.39,,347.50, ,634.14,446.59,42.02,53.57,611.16,2.22,38.59,40.62, ,7.00, , ,8.38,2732.25, , , ,370.36, , , 
1/7/16,2016,37.407333,122.237855,SD 1a,,29.26,5.60,6.23,,,6.47,3.39,,1681.31, ,1312.75,439.13,40.35,2770.39,2370.85,6.75,81.10,54.17,706.18,6.94,6.65,28.70,18.83,3912.35, , , ,352.22, ,0.62,3.74
1/7/16,2016,37.407333,122.237855,SD 1b,,29.26,5.60,6.23,,,6.47,3.39,,1715.89, ,1262.34,425.39, ,2713.97,2293.85,6.24,77.28,48.17,697.00,6.12,11.55,23.37,18.42,3766.26, , , ,341.96, ,0.59,3.59
1/7/16,2016,37.407333,122.237855,SD 2a,,29.92,4.25,5.82,,,6.85,3.37,,1666.91, ,1212.68,377.30, ,2743.09,2351.15,6.45,84.78,58.01, ,6.57,16.24,20.86,19.09,3851.86, , , ,348.95, ,0.59,3.68
1/7/16,2016,37.407333,122.237855,SD 2b,,29.92,4.25,5.82,,,6.85,3.37,,1713.01, ,1233.81,371.60, ,2710.33,2301.01,6.30,78.02,52.42, ,5.87,15.94,23.62,18.97,3752.57, , , ,337.81, ,0.56,3.57
1/7/16,2016,37.407333,122.237855,SD 3a,,28.94,4.57,5.92,,,6.04,3.46,,1642.41, ,749.40,376.31, ,2717.61,2048.53,6.63,78.77,54.46, ,6.22,11.81,35.45,18.31,3855.28, , , ,342.25, ,0.47,3.66
1/7/16,2016,37.407333,122.237855,SD 3b,,28.94,4.57,5.92,,,6.04,3.46,,1707.25, ,752.37,370.82, ,2688.48,2018.09,6.50,76.14,47.78, ,6.05,8.05,30.31,18.12,3759.42, , , ,337.22, ,0.46,3.61
1/7/16,2016,37.410732,122.237853,CF 1a,,36.89,5.47,6.87,,,9.04,3.48,,1462.33,2.441,2326.03,486.64,45.25,1862.10,3130.09,5.82,87.83,75.16, ,7.27,10.89,36.30,19.12,3646.43, , , ,350.77, ,0.99,3.22
1/7/16,2016,37.410732,122.237853,CF 1b,,36.89,5.47,6.87,,,9.04,3.48,,1442.16, ,2155.55,453.07,42.20,1758.89,2888.35,5.31,74.27,61.47, ,6.02,6.93,19.16,17.26,3314.31, , , ,325.35, ,0.98,2.95
1/7/16,2016,37.410732,122.237853,CF 2a,,36.72,5.35,7.02,,,6.42,3.50,,1409.16, ,2075.49,406.54, ,1838.43,2798.82,5.65,79.75,65.84,594.07,7.06, ,24.18,17.81,3581.37, , , ,355.65, ,0.74,3.16
1/7/16,2016,37.410732,122.237853,CF 2b,,36.72,5.35,7.02,,,6.42,3.50,,1439.56,2.108,1953.56,385.54, ,1763.99,2591.10,5.24,67.47,57.23,561.95,6.48,14.07,24.87,16.88,3317.74, , , ,326.81, ,0.66,2.89
1/7/16,2016,37.410732,122.237853,CF 3a,,37.36,4.96,7.04,,,8.56,3.42,,1402.39,2.108,2069.56,367.48, ,1820.23,2723.61,5.45,80.23,73.02, ,7.23,7.91,24.87,17.76,3536.86, , , ,344.51, ,1.02,3.07
1/7/16,2016,37.410732,122.237853,CF 3b,,37.36,4.96,7.04,,,8.56,3.42,,1440.71, ,2023.98, , ,1768.72,2621.54,5.40,68.71,65.26, ,6.17,10.25,19.39,16.80,3330.29, , , ,323.17, ,0.97,2.91
1/7/16,2016,37.400887,122.236511,LB 1a,,36.59,5.07,6.81,,,4.42,2.94,,2306.58, ,1146.71,432.85, ,259.57,1276.93,4.12,88.95,64.88, ,6.63,9.69,42.46,16.02,4239.90, , , ,328.56, ,0.48,3.87
1/7/16,2016,37.400887,122.236511,LB 1b,,36.59,5.07,6.81,,,4.42,2.94,,2284.97,2.219,1077.77,404.19, ,245.00,1145.13,3.80,76.29,54.12, ,5.54,17.11,45.12,15.27,3906.64, , , ,304.46, ,0.46,3.55
1/7/16,2016,37.400887,122.236511,LB 2a,,38.06,5.40,6.92,,,13.23,3.34,,2290.74, ,1047.75,381.61, ,261.57,1144.24,3.89,87.15,86.98, ,6.27, ,32.03,16.67,4207.94, , , ,325.79, ,0.99,3.73
1/7/16,2016,37.400887,122.236511,LB 2b,,38.06,5.40,6.92,,,13.23,3.34,,2273.45, ,968.44, , ,250.10,1018.00,3.63,77.39,78.40, ,5.58,6.02,26.81,15.22,3912.35, , , ,304.31, ,0.93,3.55
1/7/16,2016,37.400887,122.236511,LB 3a,,38.66,5.64,6.98,,,4.47,10.74,,2244.63,2.774,1183.77, , ,255.38,1296.09,3.65,82.56,67.05, ,6.07,7.69,36.11,15.88,4150.88, , , ,323.53, , ,3.62
1/7/16,2016,37.400887,122.236511,LB 3b,,38.66,5.64,6.98,,,4.47,10.74,,2260.48, ,1081.85, , ,243.37,1149.07,3.70,76.58,57.52, ,5.75,5.99,40.11,15.07,3897.51, , , ,306.57, , ,3.51
1/21/16,2016,37.423306,122.189535,GC 1a,1.42,43.94,4.84,9.30,52.83,2.21,16.09,6.09,,1299.52, ,323.96,437.95,41.54,297.97,571.58,3.73,74.56,66.33, ,7.34,15.66,21.29,17.39,3326.87, , , ,356.38, ,0.50,2.78
1/21/16,2016,37.423306,122.189535,GC 1b,1.42,43.94,4.84,9.30,52.83,2.21,16.09,6.09,,1305.86, ,296.28,409.29, ,282.32,450.17,3.22,65.54,59.25, ,5.88,13.57,20.80,15.67,3022.14, , , ,329.87, ,0.46,2.52
1/21/16,2016,37.423306,122.189535,GC 2a,1.42,43.65,5.45,9.08,56.00,23.03,6.04,3.56,,1267.25, ,369.10, , ,296.88,693.71,3.68,75.39,64.19, ,7.39,9.64,21.24,17.23,3306.32, , , ,361.91, , ,2.77
1/21/16,2016,37.423306,122.189535,GC 2b,1.42,43.65,5.45,9.08,56.00,23.03,6.04,3.56,,1306.30, ,339.94, , ,285.59,559.94,3.26,63.76,54.91, ,5.89,11.43,22.95,15.48,3042.68, , , ,329.87, , ,2.54
1/21/16,2016,37.423306,122.189535,GC 3a,1.42,43.89,5.58,9.17,47.42,5.44,4.37,3.14,,1190.17,2.885,277.37, , ,284.14,551.71,3.67,70.84,53.36, ,7.60,12.47,16.49,16.56,3153.39, , , ,343.05, , ,2.64
1/21/16,2016,37.423306,122.189535,GC 3b,1.42,43.89,5.58,9.17,47.42,5.44,4.37,3.14,,1314.08,2.441,280.71,371.01, ,284.50,470.05,3.33,63.02,49.24, ,6.01, ,16.96,14.94,3035.84, , , ,327.03, , ,2.50
1/21/16,2016,37.439489,122.179837,SW 1a,1.42,43.10,5.19,9.04,,,4.42,3.03,,1313.79, ,298.61,467.79,43.64,255.92,614.02,3.58,75.87,59.80, ,7.00,7.21,22.30,16.03,3328.01, , , ,352.37, ,0.47,2.79
1/21/16,2016,37.439489,122.179837,SW 1b,1.42,43.10,5.19,9.04,,,4.42,3.03,,1324.45, ,305.76,444.04,40.20,245.19,496.91,2.97,65.49,51.07, ,5.74, ,22.33,14.86,3057.52, , , ,316.69, , ,2.57
1/21/16,2016,37.439489,122.179837,SW 2a,1.42,43.30,5.16,9.17,,,4.94,2.78,,1261.35,3.773,1792.34,435.40,46.41,264.30,2232.97,4.41,77.01,60.22, ,7.89,10.44,24.42,16.85,3242.41, , , ,349.46, ,1.00,2.92
1/21/16,2016,37.439489,122.179837,SW 2b,1.42,43.30,5.16,9.17,,,4.94,2.78,,1316.81, ,1608.51,461.51,43.71,256.29,1939.30,3.77,64.86,49.10, ,5.98,11.68,17.43,15.03,3013.01, , , ,327.03, ,0.84,2.64
1/21/16,2016,37.439489,122.179837,SW 3a,1.42,43.67,5.20,9.32,,,8.47,2.81,,1292.47, ,839.09,457.19,43.56,255.56,1256.33,3.72,95.85,57.19, ,7.09, ,13.78,16.28,3285.78, , , ,351.57, ,0.58,2.85
1/21/16,2016,37.439489,122.179837,SW 3b,1.42,43.67,5.20,9.32,,,8.47,2.81,,1320.27, ,777.20,437.95,40.39,245.00,1082.10,3.27,84.73,49.22, ,6.08,5.73,15.69,14.44,3010.73, , , ,320.62, ,0.51,2.58
1/28/16,2016,37.423306,122.189535,GC 1a,0.62,37.40,7.49,11.29,34.23,,4.27,21.53,,1874.37, ,416.95,376.51, ,379.52,551.17,2.94,53.60,42.24, ,7.29,7.65,28.18,14.75,4077.84, , , ,410.19, , ,3.73
1/28/16,2016,37.423306,122.189535,GC 1b,0.62,37.40,7.49,11.29,34.23,,4.27,21.53,,1823.94,352.523,203.58, ,58.87,381.16,549.91,18.73,,, ,, ,31.36,26.26,4021.91,21.81,56.91,7.10,465.17,2.05,4.38,8.05
1/28/16,2016,37.423306,122.189535,GC 2a,0.62,38.21,6.64,11.42,27.94,0.65,3.33,2.30,,1864.28, ,408.06,365.71, ,375.51,531.11,2.70,53.31,34.56, ,7.21, ,27.15,13.98,4081.26, , , ,406.98, , ,3.71
1/28/16,2016,37.423306,122.189535,GC 2b,0.62,38.21,6.64,11.42,27.94,0.65,3.33,2.30,,1908.95,22.747,179.64, , ,394.99,671.14, ,67.18,53.79, ,11.27, ,34.55,10.86,4371.15,7.12,2.78, ,448.27, , ,7.14
1/28/16,2016,37.423306,122.189535,GC 3a,0.62,36.76,6.54,11.50,35.00,,3.50,2.13,,1867.17, ,287.94, , ,381.16,406.66,3.07,54.91,34.76, ,7.27, ,28.89,13.95,4118.92, , , ,410.77, ,0.69,3.75
1/28/16,2016,37.423306,122.189535,GC 3b,0.62,36.76,6.54,11.50,35.00,,3.50,2.13,,1957.93, ,100.88, , ,400.27,600.41, ,60.21,47.74, ,9.60, ,33.38,9.33,4430.50, , , ,445.29, , ,7.12
2/4/16,2016,37.423306,122.189535,GC 1,0.48,29.53,7.71,12.84,22.93,,3.89,,,2212.94, ,71.75, ,46.72,447.78,589.49, ,62.26,49.51, ,9.77, ,21.97,9.42,5021.68, , , ,468.59, , ,8.07
2/4/16,2016,37.423306,122.189535,GC 2,0.48,29.28,7.79,12.83,25.61,8.07,3.89,1.57,,2224.46, ,56.00, ,46.93,457.97,567.64, ,57.79,48.85, ,9.32, ,28.81,9.33,4989.73, , , ,468.66, , ,8.07
2/4/16,2016,37.423306,122.189535,GC 3,0.48,27.94,7.47,13.00,25.60,0.41,3.44,1.90,,2297.94, ,120.53, ,46.10,473.08,634.43, ,61.27,48.31, ,9.19,6.53,26.90,9.24,5018.26, , , ,466.91, , ,8.14
2/4/16,2016,37.413782,122.192731,PL 1,1.63,18.68,7.03,13.75,,,3.66,1.73,,2459.30, ,121.23, , ,592.30,662.19, ,62.80,49.92, ,8.76, ,38.17,10.25,4990.87, , , ,455.19, , ,8.04
2/4/16,2016,37.413782,122.192731,PL 2,1.63,23.21,6.77,13.86,,,3.89,6.58,,2528.45, ,140.95, ,43.77,594.12,675.44, ,64.71,52.92, ,8.62, ,31.86,10.92,5002.28, , , ,459.92, , ,8.04
2/4/16,2016,37.413782,122.192731,PL 3,1.63,22.79,7.10,13.72,,,4.21,1.61,,2521.25, ,80.35, , ,593.94,557.61, ,60.91,46.69, ,8.48,5.19,24.80,9.95,4994.29, , , ,459.71, , ,8.09
2/4/16,2016,37.439489,122.179837,SW 1,0.48,30.87,8.21,12.55,,,3.16,1.86,,2253.28,659.330,126.83,370.62,94.87,317.99,403.62,34.90,270.05,231.80,380.85,42.28, ,15.20,36.58,4295.82,34.79,103.82,10.05,483.08,3.55,4.94,9.73
